# Name | Region / route area | Beacon or route anchor | How to get
Inflamed Clawstone|Fainweald|Mushroom Village|Clear corruption northwest with Mether's Breath; enter Holding Cells through the well. Use Feeding Room Key to reach Rabid Grisha Pack.
Hag Stone|Fainweald|Outskirts of Nochte|Search the Beacon dungeon's upper route after crossing the lowered wooden platform.
Emberseed Stone|Fainweald|Mushroom Village|Search the chest along the Beacon dungeon route; the overworld offering chest is a different pickup.
Viletongue Hedron|Mammon|Castigator's Keep|Interact beside the Ovum to enter the reversed-controls encounter. Defeat Viletongue Batushka.
Voltaic Amber|Mammon|Castigator's Keep|Take the southwest route and southern lift to Vestige of Infinity; defeat Starved Harridan.
Frostshard Stone|Conquered Temple|Route note: Conqueror's Hoard / Horde|Beyond the Ova room, pray at the statue and follow the flames through the snow to the final chest.
Monarch's Vestige|Sester's Abbey|Abbey Entrance|Find Strange Village Key behind the coffin enemy; unlock the village door, descend and defeat Bor, the Deluded Monarch.
Accursed Stone|Mammon|Abandoned Outpost|Use the lower wall button to open the upper gate, then search the chest beyond.
Weeping Stone|Mammon|Abandoned Outpost|Visit The Collector south of the Beacon at night; purchase for 1,500 Coin.
Acolyte's Stone|Marrow Keep|Marrow Keep|Buy from Merrick for 2,000 Coin.
Unwieldy Stone|Marrow Keep|Marrow Keep|Buy from Merrick for 2,000 Coin. Some public lists spell this Unwieldly Stone.
Magdalena's Memento|Glutted Mire|Route note: final boss arena|Defeat Magdalena, the Lady of the Woods.
Captive's Scabstone|Prisoner's Domain|Route note: final boss arena|Defeat The Nameless Captive. Complete Peter's Perfect Parry first if pursuing that trophy.
Conqueror's Reward|Conquered Temple|Route note: final boss arena|Defeat Droeg, the Conqueror.
Infused Stone|Mammon|Abandoned Outpost|Visit The Collector south of the Beacon at night; purchase for 1,500 Coin.
Shrike Stone|Glutted Mire|Seeping Mire|In the next swamp, take the descending right fork across the rope bridge; search near the giant eels.
Colossus Stone|Mammon|The Silent Steps|Head northeast to the outer Bone Gate platform; search its chest before jumping onward.
Lost Clotstone|Sanguine Caverns|Route note: final boss arena|Defeat The Lost Child.
Scholar's Wormstone|Faded Citadel|Route note: final boss arena|Defeat Sir Isaac, the Scholar-Prince.
Clockwork Shardstone|Mammon|Castigator's Keep|Open Alchemist's Workshop using the catapult near Outskirts of Mammon. Inside, uncover the hidden passage and descend the lever-operated lift for the chest.
Hexapod Core|Withered Shoals|Route note: final boss arena|Defeat Hexapod.
Solnir Shard|Faded Citadel|Citadel Annex|Beyond the Beacon, defeat Solnir, the Gloom Seeker.
Confessor's Keepsake|Prisoner's Domain|Executioner's Pulpit|Take the Bone Gate route to Tishina's Confessor and defeat the miniboss.
Fusillade Stone|Conquered Temple|Winterglass Lake|Defeat Caged Grisha at the end of the Beacon dungeon.
Barrage Stone|Fainweald|Gloomshade Grove|Complete the Trial southeast of the Beacon.
Tarred Fragment|Sanguine Caverns|Sanguine Shoreline|Continue beyond the Beacon and defeat Tarblighted Stoner.
Fulminant Stone|Mammon|Abandoned Outpost|Visit The Collector south of the Beacon at night; purchase for 1,500 Coin.
Strange Remnant|Withered Shoals|Route note: entrance route|Keep right from the entrance, use the Bone Gate to the island, and defeat Strange Grisha.
Infested Stone|Mammon|Abandoned Outpost|Visit The Collector south of the Beacon at night; purchase for 1,500 Coin.
Summoning Stone|Faded Citadel|Route note: entrance route|Clear the second invulnerability-fire group, then climb the flame-lit tunnel stairs to the chest.
Hand of Rock|Fainweald|One-Legged Wolf|At the tavern southeast of the Beacon, open the Barkeep's Order Drink menu; buy for 1,500 Coin.
